ID	admixturegroup	newgroup	newgroupfull	colour	Location	age	Latitude	Longitude	Species	related	oldgroup
MW046	4	CAR	Carpathian	#C3ACCE	Slovakia	2011	48.65	19.4131	Wolf	Nonrelated	CAR
MW047	4	CAR	Carpathian	#C3ACCE	Slovakia	2013	48.9124	18.7279	Wolf	Nonrelated	CAR
MW048	4	CAR	Carpathian	#C3ACCE	Slovakia	2013	49.3985	19.307	Wolf	Nonrelated	CAR
MW050	4	CAR	Carpathian	#C3ACCE	Slovakia	2015	49.1709	22.0248	Wolf	Nonrelated	CAR
MW051	4	CAR	Carpathian	#C3ACCE	Slovakia	2015	48.8756	22.1472	Wolf	Nonrelated	CAR
MW253	4	CAR	Carpathian	#C3ACCE	Poland	2013	49.27366	22.68584	Wolf	Nonrelated	CAR
MW254	4	CAR	Carpathian	#C3ACCE	Poland	2014	49.2735	22.2862	Wolf	Nonrelated	CAR
MW255	4	CAR	Carpathian	#C3ACCE	Poland	2015	49.57457	21.89296	Wolf	Nonrelated	CAR
MW257	4	CAR	Carpathian	#C3ACCE	Poland	2017	49.53444	21.9035	Wolf	Nonrelated	CAR
MW258	4	CAR	Carpathian	#C3ACCE	Poland	2018	49.20206	22.36225	Wolf	Nonrelated	CAR
MW259	4	CAR	Carpathian	#C3ACCE	Poland	2018	49.43792	21.69074	Wolf	Nonrelated	CAR
MW260	4	CAR	Carpathian	#C3ACCE	Poland	2018	49.26159	22.48799	Wolf	Nonrelated	CAR
MW261	4	CAR	Carpathian	#C3ACCE	Poland	2019	49.71314	18.96991	Wolf	Nonrelated	CAR
MW296	4	CAR	Carpathian	#C3ACCE	Poland	2015	49.9193	22.9735	Wolf	Nonrelated	CAR
MW332	4	CAR	Carpathian	#C3ACCE	Slovakia	2015	49.3116	21.8325	Wolf	Nonrelated	CAR
MW335	4	CAR	Carpathian	#C3ACCE	Slovakia	2013	48.3823	19.3151	Wolf	Nonrelated	CAR
MW336	4	CAR	Carpathian	#C3ACCE	Slovakia	2014	49.3181	18.8802	Wolf	Nonrelated	CAR
MW337	4	CAR	Carpathian	#C3ACCE	Slovakia	2017	49.32047	21.84349	Wolf	Nonrelated	CAR
MW339	4	CAR	Carpathian	#C3ACCE	Slovakia	2018	49.21531	19.44052	Wolf	Nonrelated	CAR
MW342	4	CAR	Carpathian	#C3ACCE	Slovakia	2017	48.91577	19.26219	Wolf	Nonrelated	CAR
MW697A	4	CAR	Carpathian	#C3ACCE	Slovakia	2016	49.0108	19.4953	Wolf	Nonrelated	CAR
MW698A	4	CAR	Carpathian	#C3ACCE	Slovakia	2016	48.7853	20.1361	Wolf	Nonrelated	CAR
MW699A	4	CAR	Carpathian	#C3ACCE	Slovakia	2017	48.7231	20.2541	Wolf	Nonrelated	CAR
MW704A	4	CAR	Carpathian	#C3ACCE	Slovakia	2017	48.7163	19.6992	Wolf	Nonrelated	CAR
MW710A	4	CAR	Carpathian	#C3ACCE	Slovakia	2010	48.6531	19.431	Wolf	Nonrelated	CAR
MW712A	4	CAR	Carpathian	#C3ACCE	Slovakia	2015	49.1176	19.7938	Wolf	Nonrelated	CAR
MW878	4	CAR	Carpathian	#C3ACCE	Slovakia	2010	48.6233	19.0548	Wolf	Nonrelated	CAR
MW933	4	CAR	Carpathian	#C3ACCE	Slovakia	2016	49.1742	19.2575	Wolf	Nonrelated	CAR
MW935	4	CAR	Carpathian	#C3ACCE	Slovakia	2016	49.0405	19.6171	Wolf	Nonrelated	CAR
MW939	4	CAR	Carpathian	#C3ACCE	Slovakia	2016	48.8416	19.4981	Wolf	Nonrelated	CAR
MW941	4	CAR	Carpathian	#C3ACCE	Slovakia	2016	49.099	20.85	Wolf	Nonrelated	CAR
MW943	4	CAR	Carpathian	#C3ACCE	Slovakia	2016	48.8209	20.8001	Wolf	Nonrelated	CAR
MW944	4	CAR	Carpathian	#C3ACCE	Slovakia	2016	48.7983	20.7332	Wolf	Nonrelated	CAR
MW945	4	CAR	Carpathian	#C3ACCE	Slovakia	2016	49.0244	20.6741	Wolf	Nonrelated	CAR
MW946	4	CAR	Carpathian	#C3ACCE	Slovakia	2016	48.8532	20.5262	Wolf	Nonrelated	CAR
MW949	4	CAR	Carpathian	#C3ACCE	Slovakia	2016	48.8297	20.7583	Wolf	Nonrelated	CAR
MW952	4	CAR	Carpathian	#C3ACCE	Slovakia	2016	49.1526	19.0098	Wolf	Nonrelated	CAR
MW953	4	CAR	Carpathian	#C3ACCE	Slovakia	2020	48.669	19.699	Wolf	Nonrelated	CAR
MW957	4	CAR	Carpathian	#C3ACCE	Slovakia	2016	49.3348	19.6748	Wolf	Nonrelated	CAR
MW959	4	CAR	Carpathian	#C3ACCE	Slovakia	2016	49.3484	21.2218	Wolf	Nonrelated	CAR
MW960	4	CAR	Carpathian	#C3ACCE	Slovakia	2015	49.0725	22.0934	Wolf	Nonrelated	CAR
MW961	4	CAR	Carpathian	#C3ACCE	Slovakia	2016	48.9007	22.3936	Wolf	Nonrelated	CAR
MW962	4	CAR	Carpathian	#C3ACCE	Slovakia	2016	48.6409	19.4602	Wolf	Nonrelated	CAR
MW964	4	CAR	Carpathian	#C3ACCE	Slovakia	2016	49.2079	19.535	Wolf	Nonrelated	CAR
MW965	4	CAR	Carpathian	#C3ACCE	Slovakia	2016	49.1066	19.4374	Wolf	Nonrelated	CAR
MW966	4	CAR	Carpathian	#C3ACCE	Slovakia	2016	49.09834	20.20651	Wolf	Nonrelated	CAR
