ID	admixture	Location	age	Latitude	Longitude	Species	Label	oldgroup	newgroup	newgroupfull
MW053	NA	Germany	2012	50.118346	7.308953	Wolf	Wolf_Modern	Carpathian	CAR	Carpathian
MW253	4	Poland	2013	49.27366	22.68584	Wolf	Wolf_Modern	Carpathian	CAR	Carpathian
MW254	4	Poland	2014	49.2735	22.2862	Wolf	Wolf_Modern	Carpathian	CAR	Carpathian
MW255	4	Poland	2015	49.57457	21.89296	Wolf	Wolf_Modern	Carpathian	CAR	Carpathian
MW256	NA	Poland	2015	49.54918	21.8509	Wolf	Wolf_Modern	Carpathian	CAR	Carpathian
MW257	4	Poland	2017	49.53444	21.9035	Wolf	Wolf_Modern	Carpathian	CAR	Carpathian
MW258	4	Poland	2018	49.20206	22.36225	Wolf	Wolf_Modern	Carpathian	CAR	Carpathian
MW259	4	Poland	2018	49.43792	21.69074	Wolf	Wolf_Modern	Carpathian	CAR	Carpathian
MW260	4	Poland	2018	49.26159	22.48799	Wolf	Wolf_Modern	Carpathian	CAR	Carpathian
MW261	4	Poland	2019	49.71314	18.96991	Wolf	Wolf_Modern	Carpathian	CAR	Carpathian
MW296	4	Poland	2015	49.9193	22.9735	Wolf	Wolf_Modern	Carpathian	CAR	Carpathian
MW046	4	Slovakia	2011	48.65	19.4131	Wolf	Wolf_Modern	Carpathian	CAR	Carpathian
MW047	4	Slovakia	2013	48.9124	18.7279	Wolf	Wolf_Modern	Carpathian	CAR	Carpathian
MW048	4	Slovakia	2013	49.3985	19.307	Wolf	Wolf_Modern	Carpathian	CAR	Carpathian
MW050	4	Slovakia	2015	49.1709	22.0248	Wolf	Wolf_Modern	Carpathian	CAR	Carpathian
MW051	4	Slovakia	2015	48.8756	22.1472	Wolf	Wolf_Modern	Carpathian	CAR	Carpathian
MW332	4	Slovakia	2015	49.3116	21.8325	Wolf	Wolf_Modern	Carpathian	CAR	Carpathian
MW335	4	Slovakia	2013	48.3823	19.3151	Wolf	Wolf_Modern	Carpathian	CAR	Carpathian
MW336	4	Slovakia	2014	49.3181	18.8802	Wolf	Wolf_Modern	Carpathian	CAR	Carpathian
MW337	4	Slovakia	2017	49.32047	21.84349	Wolf	Wolf_Modern	Carpathian	CAR	Carpathian
