ID	Location	Latitude	Longitude	Species	Captive	colour	relatedness	newgroup	oldgroup
MW1109	Belarus	55.42	29.5	Canis lupus	wild	#6BC2EB	unrelated	SBAL	VOUR
MW897	Ukraine	51.2333	31.4667	Canis lupus	wild	#6BC2EB	unrelated	SBAL	VOUR
MW453	Finland	62.66788	30.93949	Canis lupus	wild	#643B80	unrelated	WFIN	KAR
MW258	Poland	49.20206	22.36225	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW260	Poland	49.26159	22.48799	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW254	Poland	49.2735	22.2862	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW253	Poland	49.27366	22.68584	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW259	Poland	49.43792	21.69074	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW257	Poland	49.53444	21.9035	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW256	Poland	49.54918	21.8509	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW261	Poland	49.71314	18.96991	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW296	Poland	49.9193	22.9735	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW936	Slovakia	48.5257	19.9472	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW937	Slovakia	48.5899	19.9912	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW878	Slovakia	48.6233	19.0548	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW962	Slovakia	48.6409	19.4602	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW046	Slovakia	48.65	19.4131	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW710A	Slovakia	48.6531	19.431	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW963	Slovakia	48.7163	19.6992	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW698A	Slovakia	48.7853	20.1361	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW944	Slovakia	48.7983	20.7332	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW949	Slovakia	48.8297	20.7583	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW939	Slovakia	48.8416	19.4981	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW946	Slovakia	48.8532	20.5262	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW051	Slovakia	48.8756	22.1472	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW942	Slovakia	48.8833	20.5833	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW961	Slovakia	48.9007	22.3936	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW047	Slovakia	48.9124	18.7279	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW342	Slovakia	48.91577	19.26219	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
858A	Slovakia	48.9634	19.7409	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW967	Slovakia	49.0097	20.0902	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW970	Slovakia	49.0097	20.0902	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW697A	Slovakia	49.0108	19.4953	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW969	Slovakia	49.0151	20.1641	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW945	Slovakia	49.0244	20.6741	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW948	Slovakia	49.0298	20.4647	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW935	Slovakia	49.0405	19.6171	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW960	Slovakia	49.0725	22.0934	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW966	Slovakia	49.09834	20.20651	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW941	Slovakia	49.099	20.85	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW965	Slovakia	49.1066	19.4374	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW712A	Slovakia	49.1176	19.7938	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW952	Slovakia	49.1526	19.0098	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW050	Slovakia	49.1709	22.0248	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW933	Slovakia	49.1742	19.2575	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW964	Slovakia	49.2079	19.535	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW339	Slovakia	49.21531	19.44052	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW954	Slovakia	49.2623	21.6322	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW332	Slovakia	49.3116	21.8325	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW336	Slovakia	49.3181	18.8802	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW337	Slovakia	49.32047	21.84349	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW957	Slovakia	49.3348	19.6748	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW959	Slovakia	49.3484	21.2218	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW048	Slovakia	49.3985	19.307	Canis lupus	wild	#C3ACCE	unrelated	CAR	CAR
MW515	Austria	48.65342	15.33925	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW340	Czech Republic	50.27093	14.66497	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW334	Czech Republic	50.3376	14.8746	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW333	Czech Republic	50.653	15.6133	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW338	Czech Republic	50.67852	14.539699	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW045	Czech Republic	50.797808	14.417685	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW001	Denmark	56.273653	8.318263	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW002	Denmark	56.75073	8.422565	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW102	Germany	52.636704	9.845077	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW055	Germany	50.652051	9.162438	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
