ID	Location	Latitude	Longitude	Species	Captive	newgroup	colour	unrelated	refpanel	dups	hybrids	related	grouping	newgroup2
AlabamaCoyote	United States	NA	NA	Canis latrans	NA	NA	NA	NA	#N/A	#N/A	#N/A	#N/A	outgroup	NA
AndeanFox	Peru	NA	NA	Lycalopex culpaeus	NA	NA	NA	NA	#N/A	#N/A	#N/A	#N/A	outgroup	NA
BerlinZoo	Germany	NA	NA	Cuon alpinus	NA	NA	NA	NA	#N/A	#N/A	#N/A	#N/A	outgroup	NA
CaliforniaCoyote	United States	NA	NA	Canis latrans	NA	NA	NA	NA	#N/A	#N/A	#N/A	#N/A	outgroup	NA
KenyaJackal	Kenya	NA	NA	Canis anthus	NA	NA	NA	NA	#N/A	#N/A	#N/A	#N/A	outgroup	NA
Kruger	South Africa	NA	NA	Lycaon pictus	NA	NA	NA	NA	#N/A	#N/A	#N/A	#N/A	outgroup	NA
MW692	Israel	NA	NA	Canis aureus	NA	NA	NA	NA	#N/A	#N/A	#N/A	#N/A	outgroup	NA
Zimbabwe1	Zimbabwe	NA	NA	Lycaon pictus	NA	NA	NA	NA	#N/A	#N/A	#N/A	#N/A	outgroup	NA
C_adustus	Guinea	NA	NA	Canis adustus	NA	NA	NA	NA	C_adustus	#N/A	#N/A	#N/A	ref panel	NA
Ethiopian_grey_wolf	Ethiopia	6.9167263	39.6987993	Canis simensis	NA	NA	NA	NA	Ethiopian_grey_wolf	#N/A	#N/A	#N/A	ref panel	NA
MW974	Finland	64.6777454	29.7761469	Canis lupus	wild	NA	#6DA34D	unrelated	#N/A	#N/A	#N/A	#N/A	contaminated	NA
MW049	Slovakia	49.258	19.2466	Canis lupus	wild	NA	#3CAEA3	unrelated	#N/A	#N/A	#N/A	#N/A	contaminated	NA
MW279	Poland	53.53071	16.51597	Canis lupus	wild	NA	#3CAEA3	unrelated	#N/A	#N/A	#N/A	#N/A	contaminated	NA
MW497	Russia	60.97868	32.97086	Canis lupus	wild	NA	#3CAEA3	unrelated	#N/A	#N/A	#N/A	#N/A	contaminated	NA
AW045_merged	Norway	69.757853	29.685947	Canis lupus	wild	NA	NA	NA	#N/A	AW045_merged	#N/A	AW045_merged	dups	NA
AW087_merge	Norway	60.997159	11.37519134	Canis lupus	wild	NA	NA	NA	#N/A	AW087_merge	#N/A	AW087_merge	dups	NA
MW053	Germany	50.118346	7.308953	Canis lupus	wild	NA	NA	NA	#N/A	MW053	#N/A	MW053	dups	NA
MW124RE	Spain	43.36139	-5.85932	Canis lupus	wild	NA	NA	NA	#N/A	MW124RE	#N/A	MW124RE	dups	NA
MW358	Finland	66.9168193	28.9154748	Canis lupus	wild	NA	NA	NA	#N/A	MW358	#N/A	MW358	dups	NA
MW364	Lithuania	55.0431	24.95698	Canis lupus	wild	NA	NA	NA	#N/A	MW364	#N/A	MW364	dups	NA
MW365	Lithuania	56.20177	24.75601	Canis lupus	wild	NA	NA	NA	#N/A	MW365	#N/A	MW365	dups	NA
MW376	Turkiye	40.19272	42.29462	Canis lupus	wild	NA	NA	NA	#N/A	MW376	#N/A	MW376	dups	NA
MW384	Turkiye	40.192723	42.294624	Canis lupus	wild	NA	NA	NA	#N/A	MW384	#N/A	MW384	dups	NA
MW422	Finland	64.12874	29.52028	Canis lupus	wild	NA	NA	NA	#N/A	MW422	#N/A	MW422	dups	NA
MW425	Finland	64.67914	28.48402	Canis lupus	wild	NA	NA	NA	#N/A	MW425	#N/A	MW425	dups	NA
MW429	Finland	64.67914	28.48402	Canis lupus	wild	NA	NA	NA	#N/A	MW429	#N/A	MW429	dups	NA
MW436	Finland	64.12874	29.52028	Canis lupus	wild	NA	NA	NA	#N/A	MW436	#N/A	MW436	dups	NA
MW437	Finland	64.12874	29.52028	Canis lupus	wild	NA	NA	NA	#N/A	MW437	#N/A	MW437	dups	NA
MW438	Finland	64.12874	29.52028	Canis lupus	wild	NA	NA	NA	#N/A	MW438	#N/A	MW438	dups	NA
MW441	Finland	64.13065	28.39049	Canis lupus	wild	NA	NA	NA	#N/A	MW441	#N/A	MW441	dups	NA
MW461	Finland	64.12874	29.52028	Canis lupus	wild	NA	NA	NA	#N/A	MW461	#N/A	MW461	dups	NA
MW558	Russia	62.491814	34.102684	Canis lupus	wild	NA	NA	NA	#N/A	MW558	#N/A	MW558	dups	NA
MW873	Russia	53	57	Canis lupus	wild	NA	NA	NA	#N/A	MW873	#N/A	MW873	dups	NA
MW934	Slovakia	49.0297	19.9377	Canis lupus	wild	NA	NA	NA	#N/A	MW934	#N/A	MW934	dups	NA
MW953	Slovakia	48.669	19.699	Canis lupus	wild	NA	NA	NA	#N/A	MW953	#N/A	MW953	dups	NA
V138	Russia	62.465124	34.167228	Canis lupus	wild	NA	NA	NA	#N/A	V138	#N/A	V138	dups	NA
AW105_merge	Norway	59.494314	10.85309	Canis lupus x Canis lupus familiaris	wild	NA	NA	NA	#N/A	#N/A	AW105_merge	#N/A	hybrid	NA
D-85-01	Sweden	60.6708491	12.560003	Canis lupus	wild	NA	NA	NA	D-85-01	#N/A	D-85-01	#N/A	hybrid	NA
Indianwolf_Maharashtra	India	19.7515	75.7139	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	Indianwolf_Maharashtra	#N/A	hybrid	NA
Indianwolf_Rajasthan	India	26.2389	73.0243	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	Indianwolf_Rajasthan	Indianwolf_Rajasthan	hybrid	NA
Indianwolf_SRR13985171	India	22.0439	72.0205	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	Indianwolf_SRR13985171	#N/A	hybrid	NA
Iran_Hamadan	Iran	34.7983	48.5148	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	Iran_Hamadan	Iran_Hamadan	hybrid	NA
Iran_Kerman	Iran	30.2839	57.0834	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	Iran_Kerman	Iran_Kerman	hybrid	NA
Iran_Tehran	Iran	35.7219	51.3347	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	Iran_Tehran	Iran_Tehran	hybrid	NA
M-02-15	Sweden	67.4752128	18.4850953	Canis lupus	wild	NA	NA	NA	M-02-15	#N/A	M-02-15	#N/A	hybrid	NA
MW099	Germany	51.010989	10.845346	Canis lupus x Canis lupus familiaris	wild	NA	NA	NA	#N/A	#N/A	MW099	MW099	hybrid	NA
MW101	Germany	51.010989	10.845346	Canis lupus x Canis lupus familiaris	wild	NA	NA	NA	#N/A	#N/A	MW101	MW101	hybrid	NA
MW103	Germany	51.010989	10.845346	Canis lupus x Canis lupus familiaris	wild	NA	NA	NA	#N/A	#N/A	MW103	#N/A	hybrid	NA
MW1170	Romania	46.48	24.82	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	MW1170	#N/A	hybrid	NA
MW1172	Romania	46.5	24.59	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	MW1172	#N/A	hybrid	NA
MW177	Israel	32.86	35.68	Canis lupus x Canis lupus familiaris	wild	NA	NA	NA	#N/A	#N/A	MW177	#N/A	hybrid	NA
MW264	Poland	52.97441	17.84463	Canis lupus x Canis lupus familiaris	wild	NA	NA	NA	#N/A	#N/A	MW264	#N/A	hybrid	NA
MW265	Poland	51.46676	17.73676	Canis lupus x Canis lupus familiaris	wild	NA	NA	NA	#N/A	#N/A	MW265	#N/A	hybrid	NA
MW266	Poland	51.44733	17.76009	Canis lupus x Canis lupus familiaris	wild	NA	NA	NA	#N/A	#N/A	MW266	MW266	hybrid	NA
MW267	Poland	51.16276	19.45486	Canis lupus x Canis lupus familiaris	wild	NA	NA	NA	#N/A	#N/A	MW267	MW267	hybrid	NA
MW268	Poland	51.1624	19.46609	Canis lupus x Canis lupus familiaris	wild	NA	NA	NA	#N/A	#N/A	MW268	#N/A	hybrid	NA
MW269	Poland	49.57039	22.23559	Canis lupus x Canis lupus familiaris	wild	NA	NA	NA	#N/A	#N/A	MW269	MW269	hybrid	NA
MW312	Israel	32.6	35.45	Canis lupus x Canis lupus familiaris	wild	NA	NA	NA	#N/A	#N/A	MW312	#N/A	hybrid	NA
MW375	Lithuania	55.5291	25.11318	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	MW375	#N/A	hybrid	NA
MW562	Mongolia	43.19782	107.19761	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	MW562	#N/A	hybrid	NA
MW565	Mongolia	47.89048	106.95719	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	MW565	#N/A	hybrid	NA
MW566	Mongolia	47.89048	106.95719	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	MW566	#N/A	hybrid	NA
MW567	Mongolia	47.89048	106.95719	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	MW567	#N/A	hybrid	NA
MW568	Mongolia	47.89048	106.95719	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	MW568	#N/A	hybrid	NA
MW569	Mongolia	47.89048	106.95719	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	MW569	#N/A	hybrid	NA
MW594	Mongolia	43.19782	107.19761	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	MW594	#N/A	hybrid	NA
MW595	Mongolia	43.19782	107.19761	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	MW595	#N/A	hybrid	NA
